district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009007,110,22.1857,11.09285,14.9222,2,122.7977,2.808399999999999,-14.209600000000002,2.0,2,Type 2
1009007,111,6.2934,6.2934,6.2934,1,101.6346,0.0,0.0,1.0,0,Type 0
1009007,112,273.9402,27.39402,61.8862,10,193.5898,4.58443,21.716169999999998,10.0,5,Type 5
1009007,113,29.8921,7.473025,12.479,4,151.7178,3.06585,5.01795,4.0,3,Type 3
1009007,114,6.8024,6.8024,6.8024,1,66.9725,0.0,0.0,1.0,0,Type 0
1009007,115,78.4851,13.08085,19.3174,6,137.3568,2.5658666666666665,5.789416666666668,6.0,5,Type 5
1009007,116,195.49699999999999,19.549699999999998,44.4371,10,162.3939,0.6029900000000001,11.5012,10.0,5,Type 5
1009007,117,6.6407,6.6407,6.6407,1,173.1129,0.0,0.0,1.0,0,Type 0
1009007,118,5.3234,5.3234,5.3234,1,158.1313,0.0,0.0,1.0,0,Type 0
1009007,119,15.3892,15.3892,15.3892,1,244.8818,0.0,0.0,1.0,0,Type 0
1009007,120,181.21560000000002,20.13506666666667,42.3653,9,262.5212,-3.1563444444444446,11.731877777777777,9.0,5,Type 5
1009007,121,261.40119999999996,21.78343333333333,37.988,12,235.9572,2.6941083333333338,10.241516666666667,12.0,5,Type 5
1009007,122,6.7006,6.7006,6.7006,1,140.5284,0.0,0.0,1.0,0,Type 0
1009007,123,34.3593,17.17965,23.2455,2,249.3876,4.46405,5.305350000000001,2.0,2,Type 2
1009007,124,6.4192,6.4192,6.4192,1,58.627,0.0,0.0,1.0,0,Type 0
